fund_id,fund_name,asset_class,benchmark,month,year,quarter,aum_gbp_mm,monthly_return_pct,benchmark_return_pct,active_return_bps,net_flows_gbp_mm,mgmt_fee_income_gbp_k,mgmt_fee_pct,sharpe_ratio_ttm,volatility_pct
F001,UK Equity Growth Fund,Equity,FTSE 100,2022-01-01,2022,Q1,850.96,-0.891,-0.507,-38.4,4.66,0.53,0.75,0.583,11.13
F001,UK Equity Growth Fund,Equity,FTSE 100,2022-02-01,2022,Q1,858.75,0.222,3.976,-375.4,2.88,0.54,0.75,0.712,17.24
F001,UK Equity Growth Fund,Equity,FTSE 100,2022-03-01,2022,Q1,855.08,-0.207,0.864,-107.1,8.99,0.53,0.75,0.59,13.51
F001,UK Equity Growth Fund,Equity,FTSE 100,2022-04-01,2022,Q2,877.75,0.96,-3.98,494.0,-10.12,0.55,0.75,0.421,15.5
F001,UK Equity Growth Fund,Equity,FTSE 100,2022-05-01,2022,Q2,886.09,1.415,2.013,-59.8,2.92,0.55,0.75,0.855,14.55
F001,UK Equity Growth Fund,Equity,FTSE 100,2022-06-01,2022,Q2,896.35,1.25,1.076,17.4,-3.74,0.56,0.75,0.587,21.34
F001,UK Equity Growth Fund,Equity,FTSE 100,2022-07-01,2022,Q3,865.63,-3.717,3.219,-693.6,13.41,0.54,0.75,0.626,6.31
F001,UK Equity Growth Fund,Equity,FTSE 100,2022-08-01,2022,Q3,851.39,-1.686,-5.294,360.8,4.03,0.53,0.75,0.795,21.29
F001,UK Equity Growth Fund,Equity,FTSE 100,2022-09-01,2022,Q3,868.89,1.565,-2.939,450.4,1.44,0.54,0.75,0.837,9.11
F001,UK Equity Growth Fund,Equity,FTSE 100,2022-10-01,2022,Q4,854.55,-2.248,-4.672,242.4,5.33,0.53,0.75,0.715,12.67
F001,UK Equity Growth Fund,Equity,FTSE 100,2022-11-01,2022,Q4,890.87,3.943,0.32,362.3,11.82,0.56,0.75,0.643,19.81
F001,UK Equity Growth Fund,Equity,FTSE 100,2022-12-01,2022,Q4,891.92,-0.76,-0.088,-67.2,-7.03,0.56,0.75,0.854,14.76
F001,UK Equity Growth Fund,Equity,FTSE 100,2023-01-01,2023,Q1,839.01,-5.772,2.343,-811.5,15.8,0.52,0.75,0.386,10.29
F001,UK Equity Growth Fund,Equity,FTSE 100,2023-02-01,2023,Q1,885.41,4.862,-0.233,509.5,-7.93,0.55,0.75,0.871,12.01
F001,UK Equity Growth Fund,Equity,FTSE 100,2023-03-01,2023,Q1,952.32,7.991,4.491,350.0,15.97,0.6,0.75,0.23,15.96
F001,UK Equity Growth Fund,Equity,FTSE 100,2023-04-01,2023,Q2,992.04,3.541,3.125,41.6,-2.17,0.62,0.75,0.602,20.08
F001,UK Equity Growth Fund,Equity,FTSE 100,2023-05-01,2023,Q2,986.6,-0.673,-3.806,313.3,13.58,0.62,0.75,0.639,7.53
F001,UK Equity Growth Fund,Equity,FTSE 100,2023-06-01,2023,Q2,1011.97,2.632,2.21,42.2,11.07,0.63,0.75,0.969,14.44
F001,UK Equity Growth Fund,Equity,FTSE 100,2023-07-01,2023,Q3,1050.06,2.936,1.664,127.2,2.95,0.66,0.75,0.78,16.78
F001,UK Equity Growth Fund,Equity,FTSE 100,2023-08-01,2023,Q3,1038.96,-1.402,2.165,-356.7,-2.86,0.65,0.75,0.401,14.07
F001,UK Equity Growth Fund,Equity,FTSE 100,2023-09-01,2023,Q3,1037.32,-0.33,2.335,-266.5,5.9,0.65,0.75,0.506,13.6
F001,UK Equity Growth Fund,Equity,FTSE 100,2023-10-01,2023,Q4,1087.81,3.689,2.122,156.7,20.13,0.68,0.75,0.573,11.6
F001,UK Equity Growth Fund,Equity,FTSE 100,2023-11-01,2023,Q4,1159.02,6.7,7.278,-57.8,-3.53,0.72,0.75,0.666,10.87
F001,UK Equity Growth Fund,Equity,FTSE 100,2023-12-01,2023,Q4,1168.92,0.555,6.896,-634.1,15.94,0.73,0.75,1.441,8.52
F001,UK Equity Growth Fund,Equity,FTSE 100,2024-01-01,2024,Q1,1143.8,-2.712,2.544,-525.6,-10.82,0.71,0.75,0.541,16.96
F001,UK Equity Growth Fund,Equity,FTSE 100,2024-02-01,2024,Q1,1159.51,1.486,2.071,-58.5,19.01,0.72,0.75,0.34,8.63
F001,UK Equity Growth Fund,Equity,FTSE 100,2024-03-01,2024,Q1,1186.25,1.669,2.414,-74.5,-7.26,0.74,0.75,0.811,2.75
F001,UK Equity Growth Fund,Equity,FTSE 100,2024-04-01,2024,Q2,1195.46,0.692,5.005,-431.3,10.01,0.75,0.75,0.481,18.11
F001,UK Equity Growth Fund,Equity,FTSE 100,2024-05-01,2024,Q2,1242.89,4.029,9.773,-574.4,0.22,0.78,0.75,1.229,18.03
F001,UK Equity Growth Fund,Equity,FTSE 100,2024-06-01,2024,Q2,1227.82,-2.399,2.656,-505.5,-8.79,0.77,0.75,0.632,11.59
F001,UK Equity Growth Fund,Equity,FTSE 100,2024-07-01,2024,Q3,1246.96,1.778,-2.639,441.7,9.94,0.78,0.75,0.848,11.24
F001,UK Equity Growth Fund,Equity,FTSE 100,2024-08-01,2024,Q3,1317.48,4.605,-0.656,526.1,-2.68,0.82,0.75,0.712,10.55
F001,UK Equity Growth Fund,Equity,FTSE 100,2024-09-01,2024,Q3,1313.78,-0.299,5.492,-579.1,1.44,0.82,0.75,0.334,11.5
F001,UK Equity Growth Fund,Equity,FTSE 100,2024-10-01,2024,Q4,1351.64,2.375,3.959,-158.4,-3.7,0.84,0.75,0.728,13.67
F001,UK Equity Growth Fund,Equity,FTSE 100,2024-11-01,2024,Q4,1356.03,0.384,1.518,-113.4,2.01,0.85,0.75,0.766,13.56
F001,UK Equity Growth Fund,Equity,FTSE 100,2024-12-01,2024,Q4,1311.2,-4.377,3.65,-802.7,17.23,0.82,0.75,0.842,4.33
F002,Global Bond Income Fund,Fixed Income,Bloomberg Agg,2022-01-01,2022,Q1,646.83,2.347,-1.108,345.5,4.35,0.24,0.45,0.467,12.45
F002,Global Bond Income Fund,Fixed Income,Bloomberg Agg,2022-02-01,2022,Q1,646.57,-0.211,-2.206,199.5,16.51,0.24,0.45,0.701,9.24
F002,Global Bond Income Fund,Fixed Income,Bloomberg Agg,2022-03-01,2022,Q1,652.46,0.82,-1.018,183.8,-3.09,0.24,0.45,0.454,16.92
F002,Global Bond Income Fund,Fixed Income,Bloomberg Agg,2022-04-01,2022,Q2,651.53,-0.19,-0.449,25.9,1.07,0.24,0.45,0.857,14.69
F002,Global Bond Income Fund,Fixed Income,Bloomberg Agg,2022-05-01,2022,Q2,652.81,-0.805,-1.974,116.9,1.63,0.24,0.45,1.043,21.12
F002,Global Bond Income Fund,Fixed Income,Bloomberg Agg,2022-06-01,2022,Q2,643.09,-0.938,-0.792,-14.6,-9.91,0.24,0.45,0.535,8.93
F002,Global Bond Income Fund,Fixed Income,Bloomberg Agg,2022-07-01,2022,Q3,643.39,-0.445,-0.809,36.4,-3.48,0.24,0.45,0.77,14.91
F002,Global Bond Income Fund,Fixed Income,Bloomberg Agg,2022-08-01,2022,Q3,659.8,1.624,-0.409,203.3,-4.34,0.25,0.45,0.856,12.01
F002,Global Bond Income Fund,Fixed Income,Bloomberg Agg,2022-09-01,2022,Q3,647.82,-1.706,-1.629,-7.7,-14.97,0.24,0.45,0.74,12.7
F002,Global Bond Income Fund,Fixed Income,Bloomberg Agg,2022-10-01,2022,Q4,654.23,-0.558,0.205,-76.3,-3.36,0.25,0.45,0.567,9.48
F002,Global Bond Income Fund,Fixed Income,Bloomberg Agg,2022-11-01,2022,Q4,650.75,0.01,0.198,-18.8,-7.69,0.24,0.45,0.83,14.11
F002,Global Bond Income Fund,Fixed Income,Bloomberg Agg,2022-12-01,2022,Q4,671.58,1.602,-0.365,196.7,1.3,0.25,0.45,0.856,14.61
F002,Global Bond Income Fund,Fixed Income,Bloomberg Agg,2023-01-01,2023,Q1,703.56,2.981,0.174,280.7,-11.85,0.26,0.45,0.771,6.12
F002,Global Bond Income Fund,Fixed Income,Bloomberg Agg,2023-02-01,2023,Q1,683.27,-3.608,-0.784,-282.4,-4.95,0.26,0.45,0.803,7.59
F002,Global Bond Income Fund,Fixed Income,Bloomberg Agg,2023-03-01,2023,Q1,701.86,1.585,-0.28,186.5,2.96,0.26,0.45,0.348,9.76
F002,Global Bond Income Fund,Fixed Income,Bloomberg Agg,2023-04-01,2023,Q2,700.85,0.175,0.831,-65.6,8.96,0.26,0.45,0.695,18.11
F002,Global Bond Income Fund,Fixed Income,Bloomberg Agg,2023-05-01,2023,Q2,701.43,0.206,-0.42,62.6,-13.21,0.26,0.45,0.911,6.67
F002,Global Bond Income Fund,Fixed Income,Bloomberg Agg,2023-06-01,2023,Q2,712.18,0.096,-1.117,121.3,2.59,0.27,0.45,1.025,4.11
F002,Global Bond Income Fund,Fixed Income,Bloomberg Agg,2023-07-01,2023,Q3,705.62,-0.835,-1.168,33.3,0.21,0.26,0.45,0.674,8.89
F002,Global Bond Income Fund,Fixed Income,Bloomberg Agg,2023-08-01,2023,Q3,713.88,1.803,0.541,126.2,2.85,0.27,0.45,0.397,15.19
F002,Global Bond Income Fund,Fixed Income,Bloomberg Agg,2023-09-01,2023,Q3,733.01,2.318,1.973,34.5,3.7,0.27,0.45,0.866,12.28
F002,Global Bond Income Fund,Fixed Income,Bloomberg Agg,2023-10-01,2023,Q4,733.98,-0.657,-1.579,92.2,5.31,0.28,0.45,0.882,12.0
F002,Global Bond Income Fund,Fixed Income,Bloomberg Agg,2023-11-01,2023,Q4,722.44,-1.434,-1.622,18.8,6.56,0.27,0.45,0.668,16.18
F002,Global Bond Income Fund,Fixed Income,Bloomberg Agg,2023-12-01,2023,Q4,740.06,1.45,0.02,143.0,-10.97,0.28,0.45,0.648,10.03
F002,Global Bond Income Fund,Fixed Income,Bloomberg Agg,2024-01-01,2024,Q1,750.96,0.318,0.693,-37.5,9.77,0.28,0.45,0.585,11.65
F002,Global Bond Income Fund,Fixed Income,Bloomberg Agg,2024-02-01,2024,Q1,756.14,-0.244,-0.443,19.9,10.22,0.28,0.45,1.17,19.92
F002,Global Bond Income Fund,Fixed Income,Bloomberg Agg,2024-03-01,2024,Q1,758.99,0.136,-0.31,44.6,10.71,0.28,0.45,0.273,20.02
F002,Global Bond Income Fund,Fixed Income,Bloomberg Agg,2024-04-01,2024,Q2,783.53,1.348,-1.322,267.0,-6.25,0.29,0.45,0.593,19.21
F002,Global Bond Income Fund,Fixed Income,Bloomberg Agg,2024-05-01,2024,Q2,788.88,-0.853,-0.704,-14.9,3.65,0.3,0.45,0.557,14.2
F002,Global Bond Income Fund,Fixed Income,Bloomberg Agg,2024-06-01,2024,Q2,781.4,-0.776,0.39,-116.6,3.33,0.29,0.45,0.755,18.95
F002,Global Bond Income Fund,Fixed Income,Bloomberg Agg,2024-07-01,2024,Q3,796.62,0.161,-0.031,19.2,12.96,0.3,0.45,0.854,5.28
F002,Global Bond Income Fund,Fixed Income,Bloomberg Agg,2024-08-01,2024,Q3,798.11,0.258,-1.675,193.3,2.82,0.3,0.45,0.574,8.81
F002,Global Bond Income Fund,Fixed Income,Bloomberg Agg,2024-09-01,2024,Q3,792.83,-0.864,-0.908,4.4,0.14,0.3,0.45,0.46,11.98
