line_id,line_of_business,month,year,quarter,gwp_gbp_k,nwp_gbp_k,claims_incurred_gbp_k,claims_count,avg_claim_size_gbp,loss_ratio,expense_ratio,combined_ratio,underwriting_profit_gbp_k,reserve_adequacy_pct,new_policies,renewal_rate_pct
IL01,Motor,2022-01-01,2022,Q1,8314.66,7616.13,5255.7,5492,956.97,0.6321,0.2888,0.9209,657.69,1.0069,5126,0.831
IL01,Motor,2022-02-01,2022,Q1,8505.07,8139.77,5558.91,8041,691.32,0.6536,0.2666,0.9202,678.7,0.9838,6046,0.861
IL01,Motor,2022-03-01,2022,Q1,8635.33,8107.9,6135.4,6444,952.11,0.7105,0.2759,0.9864,117.44,1.1012,4473,0.833
IL01,Motor,2022-04-01,2022,Q2,8380.38,7797.96,5375.18,6974,770.75,0.6414,0.2707,0.9121,736.64,1.0472,4459,0.899
IL01,Motor,2022-05-01,2022,Q2,8248.85,7684.39,5365.05,6431,834.25,0.6504,0.2749,0.9253,616.19,0.9961,5452,0.842
IL01,Motor,2022-06-01,2022,Q2,8988.42,7926.42,6197.52,6699,925.14,0.6895,0.293,0.9825,157.3,1.0737,5628,0.873
IL01,Motor,2022-07-01,2022,Q3,9114.02,8661.01,5781.02,7555,765.19,0.6343,0.2707,0.905,865.83,1.0432,5628,0.784
IL01,Motor,2022-08-01,2022,Q3,8695.22,8267.74,5518.86,7667,719.82,0.6347,0.2733,0.908,799.96,1.0026,6057,0.815
IL01,Motor,2022-09-01,2022,Q3,8651.39,8208.69,5536.02,8177,677.02,0.6399,0.2895,0.9294,610.79,1.0053,5373,0.847
IL01,Motor,2022-10-01,2022,Q4,9321.81,8335.22,6107.65,8872,688.42,0.6552,0.2785,0.9337,618.04,1.0516,5373,0.868
IL01,Motor,2022-11-01,2022,Q4,9078.05,8380.61,6196.68,6955,890.97,0.6826,0.2839,0.9665,304.11,1.0868,6070,0.842
IL01,Motor,2022-12-01,2022,Q4,8893.02,8070.51,5856.94,7803,750.6,0.6586,0.266,0.9246,670.53,1.0298,4069,0.781
IL01,Motor,2023-01-01,2023,Q1,9454.92,8495.22,6405.71,6850,935.14,0.6775,0.2663,0.9438,531.37,0.9512,5939,0.832
IL01,Motor,2023-02-01,2023,Q1,9049.78,8237.73,6049.78,7167,844.12,0.6685,0.2706,0.9391,551.13,0.9947,4712,0.839
IL01,Motor,2023-03-01,2023,Q1,8949.79,8407.74,6485.02,6867,944.37,0.7246,0.2886,1.0132,-118.14,1.0875,4832,0.838
IL01,Motor,2023-04-01,2023,Q2,9575.15,8903.17,6291.83,7096,886.67,0.6571,0.2838,0.9409,565.89,0.9819,5333,0.783
IL01,Motor,2023-05-01,2023,Q2,8888.55,8338.96,5740.23,6941,827.0,0.6458,0.2689,0.9147,758.19,0.9896,6451,0.801
IL01,Motor,2023-06-01,2023,Q2,9361.61,8830.94,6173.98,8534,723.46,0.6595,0.2884,0.9479,487.74,1.0061,5606,0.898
IL01,Motor,2023-07-01,2023,Q3,9853.7,9334.64,6996.13,7250,964.98,0.71,0.268,0.978,216.78,1.0889,6008,0.896
IL01,Motor,2023-08-01,2023,Q3,9129.85,8058.74,5959.05,5905,1009.15,0.6527,0.2876,0.9403,545.05,1.0283,5896,0.888
IL01,Motor,2023-09-01,2023,Q3,9569.8,8903.1,6478.75,7334,883.39,0.677,0.2851,0.9621,362.7,0.9572,6367,0.911
IL01,Motor,2023-10-01,2023,Q4,9631.16,8643.23,6694.62,9167,730.3,0.6951,0.2716,0.9667,320.72,0.9692,4779,0.869
IL01,Motor,2023-11-01,2023,Q4,9503.14,8394.69,6230.26,7633,816.23,0.6556,0.2694,0.925,712.74,1.0832,5603,0.847
IL01,Motor,2023-12-01,2023,Q4,9828.79,9381.26,6244.23,9008,693.19,0.6353,0.2704,0.9057,926.85,1.1195,6490,0.868
IL01,Motor,2024-01-01,2024,Q1,9366.44,8978.05,6574.3,7972,824.67,0.7019,0.2882,0.9901,92.73,1.0841,6007,0.886
IL01,Motor,2024-02-01,2024,Q1,10162.07,9673.2,6570.79,7786,843.92,0.6466,0.2853,0.9319,692.04,1.0325,6437,0.841
IL01,Motor,2024-03-01,2024,Q1,9720.51,8768.15,6281.39,6867,914.72,0.6462,0.2712,0.9174,802.91,1.0913,6864,0.908
IL01,Motor,2024-04-01,2024,Q2,10042.55,8838.02,6452.34,7953,811.31,0.6425,0.2743,0.9168,835.54,1.0585,6791,0.833
IL01,Motor,2024-05-01,2024,Q2,9736.25,9080.64,8748.02,7898,1107.62,0.8985,0.2877,1.1862,-1812.89,1.0416,7083,0.834
IL01,Motor,2024-06-01,2024,Q2,10141.39,9014.04,6952.94,7473,930.41,0.6856,0.2832,0.9688,316.41,1.0389,7127,0.789
IL01,Motor,2024-07-01,2024,Q3,10523.43,9741.34,7583.18,7940,955.06,0.7206,0.2717,0.9923,81.03,1.0922,6349,0.872
IL01,Motor,2024-08-01,2024,Q3,10274.1,9805.77,6713.1,7909,848.79,0.6534,0.2763,0.9297,722.27,0.9855,5969,0.849
IL01,Motor,2024-09-01,2024,Q3,10715.57,9786.28,7638.06,6209,1230.16,0.7128,0.2677,0.9805,208.95,1.0127,5708,0.879
