product_id,product_name,segment,month,year,quarter,revenue_gbp_k,cost_income_ratio,active_customers,new_customers,churned_customers,nps_score,digital_adoption_pct,complaints_per_1k_customers,revenue_per_customer_gbp
P01,Current Accounts,Personal,2022-01-01,2022,Q1,4273.52,0.719,178853,4450,2482,20,0.803,3.19,23.89
P01,Current Accounts,Personal,2022-02-01,2022,Q1,4270.69,0.651,180108,3682,2748,29,0.819,2.51,23.71
P01,Current Accounts,Personal,2022-03-01,2022,Q1,4039.68,0.525,171974,3531,2629,28,0.855,3.24,23.49
P01,Current Accounts,Personal,2022-04-01,2022,Q2,4041.85,0.575,176436,2709,3137,43,0.705,1.61,22.91
P01,Current Accounts,Personal,2022-05-01,2022,Q2,4290.31,0.523,183651,2645,2916,33,0.81,2.46,23.36
P01,Current Accounts,Personal,2022-06-01,2022,Q2,3922.43,0.6,181150,4413,1994,32,0.736,2.66,21.65
P01,Current Accounts,Personal,2022-07-01,2022,Q3,4031.91,0.666,181758,4011,2433,27,0.662,3.08,22.18
P01,Current Accounts,Personal,2022-08-01,2022,Q3,3949.4,0.564,179096,4545,3298,31,0.887,2.37,22.05
P01,Current Accounts,Personal,2022-09-01,2022,Q3,4177.8,0.619,175354,3867,3081,50,0.668,1.77,23.82
P01,Current Accounts,Personal,2022-10-01,2022,Q4,4063.92,0.595,170997,4136,2258,32,0.812,1.19,23.77
P01,Current Accounts,Personal,2022-11-01,2022,Q4,4244.98,0.632,181311,2830,2300,42,0.625,1.89,23.41
P01,Current Accounts,Personal,2022-12-01,2022,Q4,4156.26,0.689,180956,2947,2337,42,0.799,2.81,22.97
P01,Current Accounts,Personal,2023-01-01,2023,Q1,4379.43,0.558,190941,3953,2828,32,0.872,0.82,22.94
P01,Current Accounts,Personal,2023-02-01,2023,Q1,4249.74,0.523,192652,2968,3755,50,0.727,1.31,22.06
P01,Current Accounts,Personal,2023-03-01,2023,Q1,4213.08,0.561,187871,4378,2616,40,0.747,1.58,22.43
P01,Current Accounts,Personal,2023-04-01,2023,Q2,4284.48,0.623,183212,4722,2697,28,0.861,2.11,23.39
P01,Current Accounts,Personal,2023-05-01,2023,Q2,4586.05,0.603,185299,2918,2380,26,0.896,1.88,24.75
